gene,ko_l2_mean_70d,ko_l2_mean_115d
ID1,0.015373093,0.0058444375
PTPRN2,0.015366187,0.027195191
LINC01619,0.015357111,0.0053522056
NEGR1,0.015345831,0.050998513
FBN2,0.015327204,0.029446894
TNC,0.015125288,0.07580758
STMN2,0.01510909,0.058596496
LIPG,0.015102035,0.031283587
ALMS1,0.014983913,0.016516674
LHX9,0.014956432,0.003755212
KIF15,0.01488179,0.010749475
TSPAN13,0.01484321,0.005188294
PLPP3,0.014794784,0.039716143
PAX3,0.014790213,0.039123155
RSPO3,0.014700871,0.015553701
MEF2C,0.014700289,0.030796941
DANT2,0.014677465,0.031329107
SEZ6L,0.014670287,0.042135153
KCNH8,0.01465941,0.02306224
PRKN,0.014655377,0.026787437
KCNQ1OT1,0.014546096,0.011422685
PCSK5,0.014481578,0.024511557
FHIT,0.01442088,0.027014825
JAK1,0.01436652,0.022183044
NXT1,0.014355512,0.0027838321
SGO1,0.014344264,0.0048184954
PGM5,0.014288012,0.0035253556
DPP6,0.014234303,0.051711872
SLC8A1,0.014200045,0.051707868
NEK2,0.014189822,0.002994228
GRAMD1B,0.014182963,0.050065365
RORA,0.014157378,0.012967374
FRY,0.01415028,0.03757795
GAP43,0.014112255,0.014318491
EDNRB,0.014107287,0.0380862
RORA-1,0.014050723,0.0034790288
GADD45G,0.013996288,0.0067038834
PLK1,0.013967101,0.0035615845
KIF4A,0.0139574595,0.010127994
LINC00621,0.013865185,0.020268433
RGS16,0.013865009,0.0040104734
KIF23,0.0138632255,0.0075301956
LRIG1,0.013823125,0.021719432
CCSER1,0.013753676,0.041533887
MTG1,0.013740973,0.009706859
DIAPH2,0.013734707,0.024618005
SH3D19-1,0.013720026,0.012267784
TTK,0.01369743,0.005333881
GRIK1,0.0136480825,0.031256564
ANKRD20A11P,0.013639947,7.2026e-05
CDKN3,0.013557393,0.0038484505
LCMT1,0.013550704,0.008556873
SOX1-OT,0.013539832,0.02415155
SYN3,0.0135368025,0.017169729
ID3,0.013491543,0.0072090845
GREB1L,0.013441739,0.03198366
TRIP6,0.013420015,0.004625438
CBLB,0.013364538,0.023891104
NPPC-1,0.013335505,0.003646111
GPX8,0.013118084,0.0040182695
FMN2,0.013093968,0.029485598
SCNM1,0.013015032,0.004361968
LHFPL3,0.013005411,0.023262277
AURKA,0.01299839,0.004237826
PHACTR2,0.0129778385,0.017492574
GLIS3,0.012949582,0.04707925
RSPO2,0.0129349,0.008880543
DENND1B,0.012894113,0.013781815
ANK3,0.012867527,0.03348116
MCC,0.012858121,0.024958974
SRGAP3,0.012796475,0.025396967
YIF1A,0.012749366,0.007947388
FEZF2,0.0127424365,0.008094185
GRIK5,0.012729503,0.027249256
KIF18A,0.012728409,0.0072305864
ECT2,0.012687187,0.010108884
LINC01122,0.012656812,0.017158892
POT1-AS1,0.01265389,0.018500973
TCF7L1-1,0.012653156,0.028053403
EPHB1,0.012649435,0.030895911
DDX47,0.012618116,0.0025354708
CARMIL1,0.01258606,0.037450094
CTNNA3,0.01258542,0.040893517
LINC01748,0.0124870725,0.03677059
DDX3P1,0.012403792,0.0031435553
MIR325HG,0.012305317,0.0067995214
TMX2,0.0122929,0.009260571
TRPM3,0.012283324,0.017776558
STXBP5L,0.012212558,0.015995102
ZNF559,0.012206247,0.013154165
KIF14,0.012198604,0.0074318033
PID1,0.01219591,0.021869339
NFATC2,0.0121500995,0.0030215592
ABTB2,0.012075607,0.025463436
MFGE8,0.012061762,0.024182899
ASTN2,0.012024953,0.031774886
WDR70,0.012024267,0.018065779
UNC5D,0.012005252,0.030419901
ZNF219,0.012003292,0.0064350395
ZNF385D,0.011992219,0.0245984
SMAD5,0.011979143,0.013336694
PLP1,0.01196024,0.015240377
LRRTM3,0.011847456,0.03916655
RGS12,0.01182891,0.023882264
TMEM132C,0.0118185785,0.011008322
GSN,0.011816927,0.013057149
MYO1E,0.011814853,0.008750595
BCAS3,0.011758388,0.018923327
MROH8,0.011722879,0.0026036948
PWRN4,0.0116470875,0.009155569
PLXDC2,0.011646187,0.041574545
SLCO5A1,0.011637772,0.004481063
LMO3,0.011635382,0.024906378
HECW1,0.011625689,0.012534894
CACNB2,0.011615751,0.03342742
CHMP4A,0.0116097,0.006000378
MYRIP,0.011602861,0.020011116
ANKFN1,0.011581206,0.05057951
